,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-15,blaTEM-1B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
5,ESBL09,5 length=2077 depth=9.34x circular=true,plasmid,P_3,True,False,True,9.34,2077,['Col(BS512)'],,216..448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESBL09,6 length=1597 depth=13.87x circular=true,plasmid,P_4,True,False,True,13.87,1597,['Col(MG828)'],,,,824..1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ESBL09,7 length=1549 depth=15.15x circular=true,plasmid,P_5,True,False,True,15.15,1549,['Col(MG828)'],,,,708..969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESBL09,8 length=1433 depth=19.30x circular=true,plasmid,P_6,True,False,True,19.30,1433,['Col(MG828)'],,,,593..852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ESBL26,1 length=4424381 depth=1.00x circular=true,chromosome,C_0,False,False,True,1.00,4424381,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ESBL26,2 length=641648 depth=0.92x,misc,M_0,False,True,False,0.92,641648,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312325..313557,,,,,,,,,,
10,ESBL26,10 length=1908 depth=1.18x,misc,M_1,False,False,False,1.18,1908,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ESBL26,12 length=1331 depth=1.27x,misc,M_2,False,False,False,1.27,1331,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ESBL26,13 length=656 depth=1.15x,misc,M_3,False,False,False,1.15,656,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ESBL26,14 length=438 depth=1.47x,misc,M_4,False,False,False,1.47,438,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ESBL26,15 length=158 depth=1.09x,misc,M_5,False,False,False,1.09,158,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ESBL26,16 length=146 depth=1.15x,misc,M_6,False,False,False,1.15,146,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ESBL26,17 length=135 depth=1.22x,misc,M_7,False,False,False,1.22,135,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ESBL26,3 length=130945 depth=1.40x circular=true,plasmid,P_0,True,True,True,1.40,130945,"[""ant(3'')-Ia"", 'IncFIC(FII)', 'dfrA14', 'mph(A)', 'blaCTX-M-14', 'IncFIB(AP001918)', 'tet(B)', 'IncFIA']",,,,,,,,,,65469..65856,49366..50046,,,130651..130945,,,,,,,,,,,,,,,,16039..16206,,,,,,125666..126541,,,,,,,,,,,,,16213..16695,,,,,,11357..12278,,,,,,,24474..25679,
4,ESBL26,4 length=95858 depth=0.75x circular=true,plasmid,P_1,True,False,True,0.75,95858,['p0111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49478..50362,,,,,,,
5,ESBL26,5 length=93541 depth=0.96x circular=true,plasmid,P_2,True,False,True,0.96,93541,['IncB/O/K/Z'],,,,,,,,,93264..93418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESBL26,6 length=7939 depth=3.11x circular=true,plasmid,P_3,True,False,True,3.11,7939,['ColRNAI'],,,,,,,,4531..4661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ESBL26,7 length=7450 depth=3.91x circular=true,plasmid,P_4,True,False,True,3.91,7450,['Col156'],,,,,,511..664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESBL26,8 length=5631 depth=3.14x circular=true,plasmid,P_5,True,False,True,3.14,5631,['ColRNAI'],,,,,,,,2655..2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ESBL26,9 length=4072 depth=4.63x circular=true,plasmid,P_6,True,False,True,4.63,4072,['Col8282'],,,,,,,722..926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ESBL26,11 length=1552 depth=9.63x circular=true,plasmid,P_7,True,False,True,9.63,1552,['Col(MG828)'],,,,176..437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ESBL01,1 length=2352027 depth=0.97x,chromosome,C_0,False,True,False,0.97,2352027,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264676..2265908,,,,,,,,,,
2,ESBL01,2 length=1546794 depth=1.26x,chromosome,C_1,False,False,False,1.26,1546794,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ESBL01,3 length=750071 depth=1.13x,misc,M_0,False,False,False,1.13,750071,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ESBL01,4 length=266553 depth=1.00x,misc,M_1,False,False,False,1.00,266553,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESBL01,8 length=18226 depth=1.95x,misc,M_2,False,False,False,1.95,18226,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ESBL01,9 length=17383 depth=1.24x,misc,M_3,False,False,False,1.24,17383,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ESBL01,10 length=15333 depth=2.15x,misc,M_4,False,False,False,2.15,15333,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ESBL01,11 length=9714 depth=2.53x,misc,M_5,False,False,False,2.53,9714,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ESBL01,12 length=8064 depth=1.91x,misc,M_6,False,False,False,1.91,8064,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ESBL01,13 length=7767 depth=0.70x,misc,M_7,False,False,False,0.70,7767,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ESBL01,14 length=7701 depth=2.45x,misc,M_8,False,False,False,2.45,7701,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ESBL01,16 length=6000 depth=1.96x,misc,M_9,False,False,False,1.96,6000,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ESBL01,17 length=2360 depth=0.40x,misc,M_10,False,False,False,0.40,2360,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ESBL01,18 length=1645 depth=1.36x,misc,M_11,False,False,False,1.36,1645,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ESBL01,19 length=1394 depth=0.50x,misc,M_12,False,False,False,0.50,1394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ESBL01,20 length=1221 depth=2.34x,misc,M_13,False,False,False,2.34,1221,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ESBL01,21 length=1100 depth=0.92x,misc,M_14,False,False,False,0.92,1100,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ESBL01,22 length=973 depth=1.70x,misc,M_15,False,False,False,1.70,973,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ESBL01,23 length=828 depth=1.44x,misc,M_16,False,False,False,1.44,828,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ESBL01,24 length=608 depth=2.25x,misc,M_17,False,False,False,2.25,608,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ESBL01,25 length=568 depth=2.53x,misc,M_18,False,False,False,2.53,568,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ESBL01,26 length=462 depth=2.25x,misc,M_19,False,False,False,2.25,462,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ESBL01,27 length=398 depth=2.50x,misc,M_20,False,False,False,2.50,398,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ESBL01,28 length=396 depth=1.08x,misc,M_21,False,False,False,1.08,396,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ESBL01,29 length=331 depth=3.29x,misc,M_22,False,False,False,3.29,331,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ESBL01,30 length=280 depth=1.36x,misc,M_23,False,False,False,1.36,280,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ESBL01,31 length=225 depth=1.40x,misc,M_24,False,False,False,1.40,225,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ESBL01,32 length=179 depth=2.45x,misc,M_25,False,False,False,2.45,179,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ESBL01,33 length=155 depth=1.83x,misc,M_26,False,False,False,1.83,155,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ESBL01,34 length=148 depth=2.11x,misc,M_27,False,False,False,2.11,148,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ESBL01,35 length=146 depth=2.58x,misc,M_28,False,False,False,2.58,146,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ESBL01,36 length=143 depth=2.72x,misc,M_29,False,False,False,2.72,143,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ESBL01,37 length=140 depth=1.20x,misc,M_30,False,False,False,1.20,140,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ESBL01,5 length=144725 depth=0.96x,plasmid,P_0,True,False,False,0.96,144725,"['IncFIB(AP001918)', 'IncFIA', 'IncFIC(FII)']",,,,,,,,,,135403..135786,104424..105105,,,35246..35742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESBL01,6 length=111004 depth=1.39x circular=true,plasmid,P_1,True,True,True,1.39,111004,"[""ant(3'')-Ia"", 'IncI1', 'aadA5', 'dfrA17', 'sul2', 'blaCTX-M-1']",,,,,,,,,,,,,,,,,,110793..110934,,,,,,,,,,9120..9908,,8331..8497,,,,,92280..93155,,,,,,,,,,,,,,,8516..8989,,,,,,,,12310..13125,,,,,
7,ESBL01,7 length=86049 depth=1.30x circular=true,plasmid,P_2,True,False,True,1.30,86049,['IncFIC(FII)'],,,,,,,,,,,,,,85784..86049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ESBL01,15 length=6888 depth=5.27x circular=true,plasmid,P_3,True,False,True,5.27,6888,['ColRNAI'],,,,,,,,4828..4958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ESBL02,1 length=3060405 depth=1.00x,chromosome,C_0,False,True,False,1.00,3060405,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407750..1408982,,,,,,,,,,
2,ESBL02,2 length=1465067 depth=1.16x,chromosome,C_1,False,False,False,1.16,1465067,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ESBL02,3 length=373036 depth=1.27x,misc,M_0,False,False,False,1.27,373036,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESBL02,6 length=30696 depth=1.52x,misc,M_1,False,False,False,1.52,30696,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ESBL02,7 length=3014 depth=0.84x,misc,M_2,False,False,False,0.84,3014,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESBL02,8 length=2057 depth=1.27x,misc,M_3,False,False,False,1.27,2057,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ESBL02,9 length=2056 depth=1.12x,misc,M_4,False,False,False,1.12,2056,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ESBL02,10 length=1594 depth=1.12x,misc,M_5,False,False,False,1.12,1594,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ESBL02,11 length=1467 depth=1.20x,misc,M_6,False,False,False,1.20,1467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ESBL02,12 length=1321 depth=0.29x,misc,M_7,False,False,False,0.29,1321,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ESBL02,13 length=1300 depth=1.12x,misc,M_8,False,False,False,1.12,1300,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ESBL02,14 length=512 depth=1.27x,misc,M_9,False,False,False,1.27,512,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ESBL02,16 length=418 depth=1.09x,misc,M_10,False,False,False,1.09,418,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ESBL02,15 length=418 depth=0.66x,misc,M_11,False,False,False,0.66,418,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ESBL02,17 length=241 depth=1.37x,misc,M_12,False,False,False,1.37,241,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ESBL02,18 length=220 depth=1.50x,misc,M_13,False,False,False,1.50,220,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ESBL02,19 length=179 depth=1.75x,misc,M_14,False,False,False,1.75,179,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ESBL02,20 length=160 depth=1.26x,misc,M_15,False,False,False,1.26,160,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ESBL02,21 length=159 depth=1.12x,misc,M_16,False,False,False,1.12,159,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ESBL02,22 length=146 depth=1.58x,misc,M_17,False,False,False,1.58,146,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ESBL02,4 length=152714 depth=1.01x circular=true,plasmid,P_0,True,True,True,1.01,152714,"[""ant(3'')-Ia"", ""aph(3')-Ia"", ""aph(3'')-Ib"", 'dfrA14', 'mph(A)', 'sul2', 'blaTEM-1B', 'IncQ1', 'IncFIB(AP001918)', 'tet(B)', 'IncFII(pRSB107)', 'IncFIA', 'catA1']",,,,,,,,,,130465..130852,152636..152714,,,,,,71302..71562,,,51406..51855,,,,,,,,,,46234..46401,54070..54873,56625..57440,,,,,,,,,,,49117..49977,36282..36941,,,,,45745..46227,,,,,,41134..42055,,,53194..54009,,,,33104..34309,
5,ESBL02,5 length=91868 depth=1.11x circular=true,plasmid,P_1,True,True,True,1.11,91868,"['blaCTX-M-15', 'blaTEM-1B', 'IncI1']",,,,,,,,,,,,,,,,,,91657..91798,,,,,,,,,,,,,,,,,,,,11229..12104,,,,,14926..15786,,,,,,,,,,,,,,,,,,,,
1,ESBL03,1 length=1715347 depth=1.04x,chromosome,C_0,False,False,False,1.04,1715347,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ESBL03,2 length=1607658 depth=0.91x,chromosome,C_1,False,True,False,0.91,1607658,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022984..1024216,,,,,,,,,,
3,ESBL03,3 length=928155 depth=1.14x,misc,M_0,False,False,False,1.14,928155,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ESBL03,4 length=526427 depth=0.72x,misc,M_1,False,False,False,0.72,526427,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ESBL03,5 length=433063 depth=0.79x,misc,M_2,False,True,False,0.79,433063,"[""aac(6')-Ib-cr"", 'catB3', 'blaOXA-1']",,,,,,,,,,,,,,,,,,,,,,,,,,,430924..431523,,,,,,,,,,,,,,431654..432484,,,,432622..433063,,,,,,,,,,,,,,,,,,
7,ESBL03,7 length=7358 depth=0.27x,misc,M_3,False,False,False,0.27,7358,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ESBL03,9 length=3093 depth=1.75x,misc,M_4,False,False,False,1.75,3093,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ESBL03,10 length=2581 depth=1.40x,misc,M_5,False,False,False,1.40,2581,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ESBL03,11 length=1955 depth=1.09x,misc,M_6,False,False,False,1.09,1955,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ESBL03,12 length=1583 depth=1.60x,misc,M_7,False,False,False,1.60,1583,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ESBL03,13 length=1494 depth=1.69x,misc,M_8,False,False,False,1.69,1494,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ESBL03,14 length=978 depth=1.09x,misc,M_9,False,False,False,1.09,978,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ESBL03,15 length=901 depth=1.06x,misc,M_10,False,False,False,1.06,901,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ESBL03,16 length=893 depth=1.52x,misc,M_11,False,False,False,1.52,893,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
